# generated 2026-04-15T17:54:59.544966
model,tone,round,compliant,reason,lex_jaccard_global,syn_jaccard_global,tfidf_cos_global,lex_jaccard_local,syn_jaccard_local,tfidf_cos_local,lex_jaccard_jort,syn_jaccard_jort,tfidf_cos_jort
ChatGPT 5.1 (Thinking + Study),Supportive,7,True,ok,0.0,0.5,0.32768884566153733,0.2,0.375,0.4797390928809167,0.0,0.0,0.1438210706935923
ChatGPT 5.1 (Thinking + Study),Supportive,8,True,ok,0.2,0.375,0.532114712647311,0.5,0.8333333333333334,0.6880237084407944,0.0,0.0,0.10152056498454069
ChatGPT 5.1 (Thinking + Study),Supportive,9,True,ok,0.2,1.0,0.5567949689683542,0.09090909090909091,0.375,0.4225771273642583,0.047619047619047616,0.05555555555555555,0.18297470446260652
ChatGPT 5.1 (Thinking + Study),Supportive,10,True,ok,0.09090909090909091,0.5714285714285714,0.50561797752809,0.3333333333333333,0.5714285714285714,0.6424557334250242,0.047619047619047616,0.06666666666666667,0.14623935277939246
ChatGPT 5.1 (Thinking + Study),Mild Rejection,0,True,ok,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,0.0,0.0,0.07186059929517265
ChatGPT 5.1 (Thinking + Study),Mild Rejection,1,True,ok,0.09090909090909091,0.6666666666666666,0.3925235061575903,0.09090909090909091,0.6666666666666666,0.3925235061575903,0.0,0.05555555555555555,0.13284594010701425
ChatGPT 5.1 (Thinking + Study),Mild Rejection,2,True,ok,0.2,0.5,0.4451319072597257,0.0,0.375,0.13832375007766065,0.0,0.0,0.03357462397483291
ChatGPT 5.1 (Thinking + Study),Mild Rejection,3,True,ok,0.09090909090909091,0.25,0.3812372001560434,0.09090909090909091,0.375,0.4290420481811836,0.0,0.05555555555555555,0.1607458786771736
ChatGPT 5.1 (Thinking + Study),Mild Rejection,4,True,ok,0.09090909090909091,0.25,0.39756661143299715,0.0,0.09090909090909091,0.26370481581696126,0.0,0.0,0.09653952156529905
ChatGPT 5.1 (Thinking + Study),Mild Rejection,5,True,ok,0.2,0.25,0.44426165831931924,0.09090909090909091,0.2,0.2742413778650722,0.0,0.05555555555555555,0.0645212233747419
ChatGPT 5.1 (Thinking + Study),Mild Rejection,6,True,ok,0.0,0.1111111111111111,0.14748154320250398,0.09090909090909091,0.09090909090909091,0.2581988897471611,0.0,0.0,0.05966344578093861
ChatGPT 5.1 (Thinking + Study),Mild Rejection,7,True,ok,0.0,0.2857142857142857,0.3228962894335844,0.0,0.2222222222222222,0.1042572070285374,0.047619047619047616,0.06666666666666667,0.17661859561143148
ChatGPT 5.1 (Thinking + Study),Mild Rejection,8,True,ok,0.09090909090909091,0.1111111111111111,0.2564945880212885,0.09090909090909091,0.1,0.4895650243261648,0.0,0.05555555555555555,0.2006863008737254
ChatGPT 5.1 (Thinking + Study),Mild Rejection,9,True,ok,0.09090909090909091,0.25,0.3576237364075618,0.0,0.09090909090909091,0.20655911179772887,0.0,0.05555555555555555,0.09645077815073554
ChatGPT 5.1 (Thinking + Study),Mild Rejection,10,True,ok,0.0,0.0,0.25224833460204465,0.0,0.0,0.22571059707475138,0.0,0.0,0.0782568502001636
ChatGPT 5.1 (Thinking + Study),Strong Rejection,0,True,ok,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.0,0.05555555555555555,0.12037773258399571
ChatGPT 5.1 (Thinking + Study),Strong Rejection,1,True,ok,0.09090909090909091,0.2,0.3085046980374365,0.09090909090909091,0.2,0.3085046980374365,0.0,0.0,0.03357462397483291
